iteration,seed,model,num_users,reviews_per_user,accuracy,median_accuracy,model_time_seconds,elapsed_seconds,cpu_percent,cpu_percent_delta,ram_percent,ram_percent_delta,ram_used_mb,ram_used_mb_delta,gpu_util_percent,gpu_util_percent_delta,gpu_memory_percent,gpu_memory_percent_delta,gpu_memory_used_mb,gpu_memory_used_mb_delta,gpu_temperature_c,gpu_temperature_c_delta,gpu_allocated_mb,gpu_reserved_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb,gpu_available,gpu_backend,gpu_name,gpu_util_percent_max,gpu_memory_used_mb_mean,gpu_memory_used_mb_max,gpu_temperature_c_max,gpu_sample_count,gpu_utilization_scope,pid,python_executable,requested_device,torch_version,torch_cuda_build,torch_cuda_available,effective_device,cuda_telemetry_available,gpu_metrics_status,train_fingerprint,test_fingerprint,train_rows,test_rows,gpu_allocated_mb_delta,gpu_reserved_mb_delta,gpu_peak_allocated_mb_delta,gpu_peak_reserved_mb_delta
1,1000,ao_per_user_cpu,250,5,0.732,1.0,24.117599964141846,58.423729200003436,28.5,15.5,72.7,-3.299999999999997,11682.2734375,-533.90234375,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,,,,,True,nvidia-smi,,0.0,0.0,0.0,49.0,51,system-wide (NVML/nvidia-smi),23580.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cpu,2.6.0+cu126,12.6,True,cpu,True,available,2928aa3ec08450a62353782993f83e0f4eb274b006c9a207d1a831558355b114,eb2fbbbe6cb42c039095df9cbdc377456fb336c861e57e7a7f4470aa4faf5a35,1000,250,,,,
1,1000,ao_per_user_cuda,250,5,0.72,1.0,19.592468738555908,51.44450240000151,21.5,-4.699999999999999,71.7,0.29999999999999716,11529.36328125,51.296875,0.3409090909090909,1.0,2.2705078125,0.341796875,93.0,14.0,48.0,-1.0,0.0,2.0,0.00390625,2.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.0,84.0909090909091,93.0,50.0,88,system-wide (NVML/nvidia-smi),14340.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cuda,2.6.0+cu126,12.6,True,cuda,True,available,2928aa3ec08450a62353782993f83e0f4eb274b006c9a207d1a831558355b114,eb2fbbbe6cb42c039095df9cbdc377456fb336c861e57e7a7f4470aa4faf5a35,1000,250,0.0,2.0,0.00390625,2.0
1,1000,per_user_pytorch,250,5,0.6,1.0,11.129573345184326,43.51870600000257,23.0,1.6000000000000014,73.0,1.7000000000000028,11739.859375,270.5859375,7.7272727272727275,33.0,3.1982421875,1.26953125,131.0,52.0,49.0,0.0,16.28369140625,22.0,17.28466796875,22.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,46.0,89.9090909090909,131.0,50.0,77,system-wide (NVML/nvidia-smi),25536.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,auto,2.6.0+cu126,12.6,True,cuda,True,available,2928aa3ec08450a62353782993f83e0f4eb274b006c9a207d1a831558355b114,eb2fbbbe6cb42c039095df9cbdc377456fb336c861e57e7a7f4470aa4faf5a35,1000,250,16.28369140625,22.0,17.28466796875,22.0
1,1000,torch_collaborative,250,5,0.708,,1.0316619873046875,34.45410970001831,23.5,-21.9,74.0,2.9000000000000057,11901.08984375,470.921875,0.13114754098360656,4.0,3.1982421875,1.26953125,131.0,52.0,50.0,0.0,16.833984375,22.0,18.0634765625,22.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4.0,80.77049180327869,131.0,51.0,61,system-wide (NVML/nvidia-smi),15628.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,auto,2.6.0+cu126,12.6,True,cuda,True,available,2928aa3ec08450a62353782993f83e0f4eb274b006c9a207d1a831558355b114,eb2fbbbe6cb42c039095df9cbdc377456fb336c861e57e7a7f4470aa4faf5a35,1000,250,16.833984375,22.0,18.0634765625,22.0
1,1000,ao_per_user_cpu,250,10,0.762,1.0,25.134450674057007,58.17261059998418,27.4,12.299999999999999,72.3,1.7000000000000028,11629.96484375,284.43359375,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,,,,,True,nvidia-smi,,0.0,0.0,0.0,53.0,51,system-wide (NVML/nvidia-smi),7104.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cpu,2.6.0+cu126,12.6,True,cpu,True,available,e1d994e7fcd0e160c941bb70e07ded231686a19b7e38c9b3378ba0d4e675f3fa,287a619261adc456d9690a68a1d5bee43604b31fd1dc66750a7479920c261bb1,2000,500,,,,
1,1000,ao_per_user_cuda,250,10,0.746,1.0,19.522905826568604,52.53475150000304,22.0,7.199999999999999,72.1,1.2999999999999972,11585.70703125,211.0390625,0.4,-2.0,2.2705078125,0.341796875,93.0,14.0,51.0,-2.0,0.0,2.0,0.00634765625,2.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,3.0,83.97777777777777,93.0,54.0,90,system-wide (NVML/nvidia-smi),10912.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cuda,2.6.0+cu126,12.6,True,cuda,True,available,e1d994e7fcd0e160c941bb70e07ded231686a19b7e38c9b3378ba0d4e675f3fa,287a619261adc456d9690a68a1d5bee43604b31fd1dc66750a7479920c261bb1,2000,500,0.0,2.0,0.00634765625,2.0
1,1000,per_user_pytorch,250,10,0.604,0.5,9.953446388244629,42.72445599999628,23.6,9.3,73.5,2.200000000000003,11819.5625,352.421875,7.48,37.0,3.1982421875,1.26953125,131.0,52.0,51.0,-1.0,16.2841796875,22.0,17.28515625,22.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,42.0,89.90666666666667,131.0,53.0,75,system-wide (NVML/nvidia-smi),27832.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,auto,2.6.0+cu126,12.6,True,cuda,True,available,e1d994e7fcd0e160c941bb70e07ded231686a19b7e38c9b3378ba0d4e675f3fa,287a619261adc456d9690a68a1d5bee43604b31fd1dc66750a7479920c261bb1,2000,500,16.2841796875,22.0,17.28515625,22.0
1,1000,torch_collaborative,250,10,0.808,,1.7420134544372559,34.81356640000013,21.3,4.0,73.6,2.3999999999999915,11835.7421875,385.12109375,0.39344262295081966,15.0,3.2470703125,1.318359375,133.0,54.0,52.0,-1.0,16.9404296875,24.0,18.1748046875,24.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,18.0,81.62295081967213,131.0,53.0,61,system-wide (NVML/nvidia-smi),5252.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,auto,2.6.0+cu126,12.6,True,cuda,True,available,e1d994e7fcd0e160c941bb70e07ded231686a19b7e38c9b3378ba0d4e675f3fa,287a619261adc456d9690a68a1d5bee43604b31fd1dc66750a7479920c261bb1,2000,500,16.9404296875,24.0,18.1748046875,24.0
1,1000,ao_per_user_cpu,250,25,0.7712,0.8,30.957149982452393,63.99868640000932,27.2,10.0,71.9,1.2000000000000028,11563.8515625,202.70703125,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,,,,,True,nvidia-smi,,0.0,0.0,0.0,55.0,58,system-wide (NVML/nvidia-smi),6904.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cpu,2.6.0+cu126,12.6,True,cpu,True,available,a8e4ebf71abb5f8c9f83c9839be69ac234ff8671edc7777ca583ccf3713b177a,d240232c4e4bee760cd102b3885eecce7b8d17320f6c4b64af26b22934e6f099,5000,1250,,,,
1,1000,ao_per_user_cuda,250,25,0.7368000000000001,0.8,19.590022563934326,52.22875360000762,21.6,4.300000000000001,71.5,0.7000000000000028,11487.28125,107.8828125,0.45454545454545453,-4.0,2.2705078125,0.341796875,93.0,14.0,52.0,-3.0,0.0,2.0,0.0263671875,2.0,True,nvidia-smi,NVIDIA GeForce RTX 3050 Ti Laptop GPU,5.0,83.93181818181819,93.0,55.0,88,system-wide (NVML/nvidia-smi),1800.0,C:\Users\satwi\.conda\envs\basic_recommender\python.exe,cuda,2.6.0+cu126,12.6,True,cuda,True,available,a8e4ebf71abb5f8c9f83c9839be69ac234ff8671edc7777ca583ccf3713b177a,d240232c4e4bee760cd102b3885eecce7b8d17320f6c4b64af26b22934e6f099,5000,1250,0.0,2.0,0.0263671875,2.0
